Class;Name
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
1;Salt
1;Pepper
2;Curry
4;Chili powder
2;Cumin
2;Carrot
2;Wasabi
3;Milk
3;Honey
1;Flour
4;Egg
4;Egg